Id,Last Edit / Deliberation Comment / Need to review,on/off,Empirical research specificity,Word / Pattern,Category name,Subitem category (functional role of sentence ( flow logic),Sensitivity to Additional Parameter,Sensitivity to Additional Parameter,Subitem category (functional role of sentence              ( flow logic),Sensitivity to Additional Parameter,Description,Status,Weight - TBD by Machine,Category number,MarkerTypeId,comment
3214,,,,you will be able to,contribution,,,,,,you * be able to,1,,8,8,NULL
3213,,,,you should be able to,contribution,,,,,,NULL,1,,8,8,NULL
3131,,,,yet there is a paucity of,problem statement,,if in introduction,,,,NULL,1,,30,6,
,,,,yet,problem statement,if in introduction,,,,,,,,30,,
,,,,would provide a more rigorous test of ,recommendation ,if in conclusion section,,,,,,,,31,,
,,,,would provide a means of validating,recommendation ,if in conclusion section,,,,,,,,31,,
3099,,,,will help you to,contribution,,,,,,* help you to,1,,8,8,NULL
3097,,,,will help us to,contribution,,,,,,* help us to,1,,8,8,NULL
,,,,will help guide the research,contribution,,if in conclusion section,,,,,,,8,,
3096,,,,will enable you to,contribution,,,,,,* enable you to,1,,8,8,NULL
3256,,,,will enable us to,contribution,,,,,,NULL,1,,8,8,NULL
,,,,will be revealed by future research,recommendation,,,,,,,,,31,,
,,,,While a great deal of research has …,problem statement,if in introduction,,,,,,,,30,,
,,,,which remains underrecognised,problem statement,if in introduction,,,,,,,,30,,
,,,,which can inflate correlations,limitation,,,,,,,,,5,,
,,,,were not randomly assigned to,limitation,,,,,,,,,5,,
6621,,,,we will be able to,contribution,,,,,,NULL,1,,8,8,NULL
,,,,we were unable to address the long-term effects of,limitation,,,,,,,,,5,,
,,,,we recommend that ,recommendation ,,if in conclusion section,,,,,,,31,,
,,,,we recommend,recommendation ,,if in conclusion section,,,,,,,31,,
3045,,,,we need to know,problem statement,,if in introduction,,,,NULL,1,,30,6,
7602,,,,we limit our discussion to,limitation,,"if appears in discussion or 
conclusion sections",,,,we limit * discussion to,1,,5,15,NULL
7374,,,,we know very little about,problem statement,,if in introduction,,,,* know very little about,1,,30,6,
6969,what is the full specification of this beyond the current plain text,,,we investigated whether,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7961,what is the full specification of this beyond the current plain text,,,we hypothesized that we would find,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7919,matan - disabled as it is a superfluous by 6155 (?),off,,we hypothesized that,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7921,what is the full specification of this beyond the current plain text,,,we hypothesize that,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
1163,what is the full specification of this beyond the current plain text,,,we hypothesised that,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
,,,,we hope our … will ,contribution,,if in conclusion section,,,,,,,8,,
Sep13,,,,we have taken a few steps towards,contribution,contribution ,if in discussion or in conclusion section,,,,,,,8,,
Sep13,,,,we have suggested some ways in which,contribution,contribution ,if in discussion or in conclusion section,,,,,,,8,,
Sep13,,,,we have no way of knowing,limitation,,if in discussion or in conclusion section,,,,,,,5,,
Sep13,,,,we extend the model,contribution,,,,,,,,,8,,
Sep13,,,,we extend,contribution,,,,,,,,,8,,
5990,what is the full specification of this beyond the current plain text,,,we explored whether,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7895,what is the full specification of this beyond the current plain text,,,we expected that,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
829,what is the full specification of this beyond the current plain text,,,we evaluate whether,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
,,,,we encourage future research,recommendation,,,,,,,,,31,,
5865,what is the full specification of this beyond the current plain text,,,we consider how to,hypothesis/research question  ,research question,self ref,deictic work ref,,,consider% how to,1,,25,25,NULL
,,,,We conceptualise the findings in a theoretical model,contribution,if in conclusion section,,,,,,,,8,,
,,,,we call for … to cross-validate our findings,recommendation,,,,,,,,,31,,
,,,,we call for …,recommendation,,,,,,,,,31,,
7008,,,,we believe that this will help,contribution,,,,,,we believe that this ** help,1,,8,8,NULL
7002,what is the full specification of this beyond the current plain text,,,we ask why,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
,,,,We acknowledge several limitations to this study,limitation,,,,,,,,,5,,
,,,,wasted,problem statement,,if in introduction,,,,,,,30,,
,,,,was conducted in only one,problem statement,if in introduction section ,,,,,,,,30,,
,,,,was conducted in only one,limitation,if in conclusion section,,,,,,,,5,,
2659,,,,very valuable information,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,very * information,1,,6,8,NULL
3021,,,,very real danger that,problem statement,,if in introduction,,,,NULL,1,,30,13,
3015,,,,very little research,problem statement,,if in introduction,,,,NULL,1,,30,6,
3011,,,,very little empirical data,problem statement,,if in introduction,,,,NULL,1,,30,6,
,,,,very few studies have examined,problem statement,if in introduction,recommendation,if in conclusion section,,,,,,30,,
3007,,,,very few emipirical studies,problem statement,,if in introduction,,,,NULL,1,,30,6,
274,,,,very few attempts to,problem statement,,if in introduction,,,,NULL,1,,30,6,
6985,,,,valuable contribution to,contribution,,,,,,NULL,1,,8,8,NULL
5421,,,,valuable addition to,contribution,,,,,,* addition to,1,,8,8,NULL
,,,,validity of the results of this study might be limited to,limitation,,,,,,,,,5,,
6812,,,,unique contribution,contribution,,,,,,NULL,1,,8,8,NULL
,,,,undervalued,problem statement,,if in introduction,,,,,,,30,,
6374,,,,under-represented,problem statement,problem statement,if in introduction,,,,NULL,1,,30,6,
3254,,,,to provide valuable insights,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,to provide ** insights,1,,6,8,NULL
,,,,to further improve ,recommendation ,,if in conclusion section,,,,,,,31,,
2880,how can this be attached to a article-self-ref?,off,,to determine whether,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
,,,,to better represent ,contribution,,if in conclusion section,,,,,,,8,,
4005,,,,time-consuming,problem statement,,if in introduction,,,,NULL,1,,30,13,
,,,,threaten,problem statement,if in introduction,,,,,,,,30,,
,,,,threat to the validity of the findings ,limitation,if in conclusion section,,,,,,,,5,,
,,,,this study will spark continued interest,contribution,,,,,,,,,8,,
2726,,,,this study validates,contribution,,,,,,this study validate%,1,,8,8,NULL
2859,,,,this study therefore validates,contribution,,,,,,NULL,1,,8,8,NULL
,,,,This study provides further evidence that,contribution,if in conclusion section,,,,,,,,8,,
5760,,,,this study identifies,contribution,,,,,,this * identifies,1,,8,8,NULL
5762,,,,this study identified,contribution,,,,,,this * identified,1,,8,8,NULL
,,,,This study highlights,contribution,,,,,,,,,8,,
,,,,this study highlights,contribution,,,,,,,,,8,,
,,,,This study has established the importance of,contribution,,if in conclusion section,,,,,,,8,,
2858,,,,this study extends the findings of,contribution,,,,,,this * extend% the findings of,1,,8,8,NULL
,,,,This study extends previous research,contribution ,,,,,,,,,8,,
7362,,,,this study extends,contribution,,,,,,NULL,1,,8,8,NULL
,,,,This study also makes contributions to our understanding of,contribution,,if in conclusion section,,,,,,,8,,
,,,,This study also makes contributions to ,contribution,,if in conclusion section,,,,,,,8,,
,,,,This study adds to the theoretical framework,contribution,,,,,,,,,8,,
,,,,This solution also deals with,contribution,,,,,,,,,8,,
Sep13,,,,this research expanded on,contribution,,,,,,,,,8,,
Sep13,how can this be attached to a article-self-ref?,off,,this problem is analyzed,problem statement,,,deictic work ref,,,,,,30,,
Sep13,how can this be attached to a article-self-ref?,off,,this problem has been,problem statement,,,deictic work ref,,,,,,30,,
,,,,This paper presents new ideas ,contribution,,if in conclusion section,,,,,,,8,,
,,,,This limits our ability to rule out the possibility that,limitation,,,,,,,,,5,,
,,,,This limits our ability to ,limitation,,,,,,,,,5,,
,,,,This is a complicated problem that ,problem statement,,if in introduction section ,,,,,,,30,,
,,,,this ... should prove useful for,contribution,,,,,,,,,8,,
7925,matan - disabled as it is a superfluous by 7926 (?),off,,third hypothesis,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
,,,,these studies are subject to,limitation,,,,,,,,,5,,
6984,,,,these results validate,contribution,,,,,,these * validate,1,,8,8,NULL
,,,,these results should be interpreted with caution,limitation,,,,,,,,,5,,
Sep13,,,,These results challenge,problem statement,,if in introduction,,,,,,,30,,
Sep13,,,,these problems are,problem statement,,if in introduction,,,,,,,30,,
,,,,these findings should not be extrapolated to ,limitation,if in conclusion section,,,,,,,,5,,
,,,,these findings should not be … without further empirical examination.,limitation,if in conclusion section,,,,,,,,5,,
,,,,These findings provide support for,contribution,if in conclusion section,,,,,,,,8,,
,,,,These contributions must be qualified in light of,limitation,,,,,,,,,5,,
,,,,There needs to be further work before,recommendation ,,if in conclusion section,,,,,,,31,,
2832,,,,there is no way of knowing,problem statement,,if in introduction,,,,NULL,1,,30,6,
2831,,,,there is no guarantee that,problem statement,,if in introduction,,,,NULL,1,,30,6,
,,,,There is no consensus regarding,problem statement,if in introduction,,,,,,,,30,,
,,,,there is little research available ,problem statement,if in introduction,,,,,,,,30,,
,,,,there is little ... literature available ,problem statement,if in introduction,,,,,,,,30,,
,,,,there is growing concern ,problem statement,,if in introduction ,,,,,,,30,,
,,,,there is currently little empirical evidence,problem statement,if in introduction section ,,,,,,,,30,,
,,,,there is currently little,problem statement,if in introduction section ,,,,,,,,30,,
3996,,,,there is a very real danger that,problem statement,,if in introduction,,,,NULL,1,,30,13,
,,,,there is a need for a well-designed longitudinal,limitation,if in conclusion section,,,,,,,,5,,
,,,,there is a need for a ,recommendation,if in conclusion section,,,,,,,,31,,
,,,,there is a need for a,problem statement,if in introduction,,,,,,,,30,,
,,,,there is a need for ... longitudinal,limitation,if in conclusion section,,,,,,,,5,,
,,,,there is a need for,problem statement,,if in introduction ,,,,,,,30,,
2825,,,,there is a need for,limitation,limitation,if in discussion or in conclusion section,,,,NULL,1,,5,6,
,,,,there are some questions,problem statement,,if in introduction ,,,,,,,30,,
3660,,,,there are some questions,limitation,,if in discussion or in conclusion section,,,,there are * some * questions,1,,5,13,
,,,,There are several limitations to our ... that should be considered,limitation,,,,,,,,,5,,
,,,,There are several limitations to our ... ,limitation,,,,,,,,,5,,
,,,,There are at least ... limitations,limitation,,,,,,,,,5,,
2817,,,,there are as yet few,problem statement,,if in introduction,,,,there are as yet * few,1,,30,6,
,,,,There are a number of limitations to this study.,limitation,,,,,,,,,5,,
,,,,There are ... caveats ,limitation,if in conclusion section,,,,,,,,5,,
,,,,The third limitation of the study results from the data collection method,limitation,,,,,,,,,5,,
,,,,The study draws attention to,contribution,,,,,,,,,8,,
,,,,The study deepens the existing conceptualizations,contribution,,,,,,,,,8,,
,,,,The second limitation is the fact that the questionnaire design can also  ,limitation,,,,,,,,,5,,
,,,,The second contribution of this study … is the finding of,contribution,,,,,,,,,8,,
,,,,the sample was small and homogenous ,limitation,,if in conclusion section,,,,,,,5,,
,,,,the sample was small and ,limitation,,if in conclusion section,,,,,,,5,,
,,,,"The results of this study should be considered in light of
its limitations",limitation,,,,,,,,,5,,
,,,,the results of this study are open to the criticism that,limitation,,,,,,,,,5,,
,,,,the question of … remains open,problem statement,if introduction,,,,,,,,30,,
,,,,the question of … remains open,limitation,if conclusion,,,,,,,,5,,
,,,,the possibility of … cannot be completely ruled out,limitation,,,,,,,,,5,,
,,,,the possibility of … cannot be completely …,limitation,,,,,,,,,5,,
,,,,the paper highlighted,contribution,,if in conclusion section,,,,,,,8,,
7964,how can this be attached to a article-self-ref?,off,,the leading questions were:,hypothesis/research question  ,research question,self ref,deictic work ref,,,the * questions were:,1,,25,25,NULL
7959,matan (added in),,,the hypothesis tested,hypothesis/research question  ,research question,self ref,deictic work ref,,,the * hypothesis tested,1,,25,25,NULL
,,,,The first limitation deals with the nature of a,limitation,,,,,,,,,5,,
,,,,the empirical literature has produced mixed results regarding,problem statement,,,,,,,,,30,,
,,,,The ... limitation is the fact that ,limitation,,,,,,,,,5,,
,,,,that may help in ,contribution,,if in conclusion section,,,,,,,8,,
,,,,takes time and money,problem statement,,if in introduction,,,,,,,30,,
,,,,takes time,problem statement,,if in introduction,,,,,,,30,,
Sep13,,,,systematic biases,limitation,,if in discussion or in conclusion section,,,,,,,5,,
Sep13,,,,systematic bias,limitation,,if in discussion or in conclusion section,,,,,,,5,,
2770,,,,susceptible to,problem statement,,if in introduction,,,,NULL,1,,30,6,
,,,,suggests a need to identify factors that impact,problem statement,if in introduction section ,,,,,,,,30,,
2752,,,,suggest a need for further research,problem statement,,if in introduction,,,,NULL,1,,30,6,
,,,,suggest a need for further research,recommendation ,,if in discussion or in conclusion section,,,,,,,31,,
3975,,,,suffer from a number of limitations,limitation,,if in discussion or in conclusion section,,,,suffer% from a number of limitation%,1,,5,13,
,,,,suffer from a number of,problem statement,,if in introduction,,,if in last section,,,,30,,
,,,,Such research would provide further,problem statement,if in introduction,,,,,,,,30,,
,,,,Such research would provide further,recommendation,if in conclusion section,,,,,,,,31,,
,,,,study sheds light on the key role,contribution,,,,,,,,,8,,
,,,,study sheds light on ,contribution,,,,,,,,,8,,
,,,,study also contributes to a better understanding of,contribution,if in conclusion section,,,,,,,,8,,
,,,,studies are needed,rcommendation,,if in discussion or in conclusion section,,,,,,,6,,
,,,,still some debate,problem statement,problem statement,if in introduction ,,,,,,,30,,
6643,,,,still some debate,limitation,limitation,if in discussion or in conclusion section,,,,still * debate,1,,5,6,
,,,,still requires additional,problem statement,problem statement,if in introduction ,,,,,,,30,,
7404,,,,still requires additional,limitation,limitation,if in discussion or in conclusion section,,,,still require% additional,1,,5,6,
,,,,still not completely understood,problem statement,problem statement,if in introduction ,,,,,,,30,,
2691,,,,still not completely understood,limitation,limitation,if in discussion or in conclusion section,,,,NULL,1,,5,6,
,,,,still lack,problem statement,problem statement,if in introduction ,,,,,,,30,,
2687,,,,still lack,limitation,limitation,if in discussion or in conclusion section,,,,NULL,1,,5,6,
,,,,still have to find a way to,problem statement,problem statement,if in introduction ,,,,,,,30,,
2686,,,,still have to find a way to,limitation,limitation,if in discussion or in conclusion section,,,,NULL,1,,5,6,
,,,,still far from clear,problem statement,problem statement,if in introduction ,,,,,,,30,,
2685,,,,still far from clear,limitation,limitation,if in discussion or in conclusion section,,,,NULL,1,,5,6,
,,,,spills over to affect,problem statement,,,,,,,,,30,,
,,,,some selection bias,limitation,,,,,,,,,5,,
,,,,some limitations that should be noted,limitation,,,,,,,,,5,,
Sep13,,,,some limitations are present in the current study,limitation,,"if appears in discussion or 
conclusion sections",,,,,,,5,,
3985,,,,some doubts as to whether,problem statement,problem statement,if in introduction,,,,NULL,1,,30,13,
2635,,,,small size of the sample,limitation,limitation,if in discussion or in conclusion section,,,,NULL,1,,5,6,
,,,,size of sample population,limitation ,,if in discussion or in conclusion section,,,,,,,5,,
2573,,,,significant declines,problem statement,problem statement,if in introduction,,,,significant decline%,1,,30,9,NULL
2571,,,,significant contribution,contribution,contribution,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,NULL,1,,8,8,NULL
Sep13,,,,significant challenges for,problem statement,problem statement,if in introduction,,,,,,,30,,
2570,,,,significant barrier,problem statement,problem statement,if in introduction,,,,NULL,1,,30,6,
Sep13,,,,should not be ignored,problem statement,problem statement,if in introduction,,,,,,,30,,
3205,,,,should help you to,contribution,,,,,,should help * to,1,,8,8,NULL
,,,,should examine,recommendation,if in conclusion section,,,,,,,,31,,
,,,,should endeavor to,recommendation,,,,,,,,,31,,
,,,,should be re-examined in light of,problem statement,if early sentences of abstract,,,,,,,,30,,
,,,,should be re-examined in light of,recommendation,if in conclusion section,,,,,,,,31,,
,,,,should be explored further ,problem statement,if in introduction section ,,,,,,,,30,,
,,,,should be explored further ,recommendation,if in conclusion section,,,,,,,,31,,
,,,,should be conducted in order to  ,recommendation ,,if in conclusion section,,,,,,,31,,
,,,,should be carried out in order to better understand ,recommendation ,,if in conclusion section,,,,,,,31,,
,,,,should address,recommendation,if in conclusion section,,,,,,,,31,,
2516,,,,sheds light on,contribution,contribution,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,shed% light on,1,,8,8,NULL
3250,,,,sheds light,contribution,contribution,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,shed% * * light,1,,8,8,NULL
1518,,,,sheds additional light,contribution,contribution,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,shed% * light,1,,8,8,NULL
2518,,,,shed new light,contribution,contribution,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,shed% * light,1,,8,8,NULL
2515,,,,shed light,contribution,contribution,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,shed% ** light,1,,8,8,NULL
3248,,,,sharpens our understanding of,contribution,,,,,,sharpen% * understanding of,1,,8,8,NULL
3249,,,,sharpens our theoretical understanding of,contribution,,,,,,sharpen% * theoretical understanding of,1,,8,8,NULL
2513,,,,sharp rise,problem statement,,if in introduction,,,,NULL,1,,30,6,
2512,,,,sharp increase,problem statement,problem statement,if in introduction,,,,NULL,1,,30,6,
Sep13,,,,sharp drop,problem statement,problem statement,if in introduction,,,,,,,30,,
2511,,,,sharp decrease,problem statement,,if in introduction,,,,NULL,1,,30,6,
2510,,,,sharp decline,problem statement,,if in introduction,,,,NULL,1,,30,6,
,,,,several limitations of our research,limitation,,,,,,,,,5,,
7476,how can this be attached to a article-self-ref?,,,sets of research questions,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7477,matan,,,sets of hypotheses,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7673,matan,,,set of hypotheses,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
,,,,second limitation is,limitation,,,,,,,,,5,,
,,,,second limitation,limitation,,if in conclusion section,,,,,,,5,,
7924,matan - disabled as it is a superfluous by 7926 (?),off,,second hypothesis,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
,,,,sample was too small,limitation ,,if in discussion or in conclusion section,,,,,,,5,,
,,,,sample was not,limitation ,,if in discussion or in conclusion section,,,,,,,5,,
,,,,sample size for this study was relatively small,limitation,,,,,,,,,5,,
,,,,results of the study may be limited in their generalizability,limitation,,,,,,,,,5,,
,,,,results of the current study highlight,contribution,if in conclusion section,,,,,,,,8,,
,,,,researchers in the future could use,recommendation ,,if in conclusion section,,,,,,,31,,
,,,,research should explore,recommendation,,,,,,,,,31,,
7899,why colum G and H specified refs if this group captures specific combinations?,,,research questions in this study,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7910,why colum G and H specified refs if this group captures specific combinations?,,,research questions in this report,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
2390,why colum G and H specified refs if this group captures specific combinations?,,,research questions in this paper,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7916,why colum G and H specified refs if this group captures specific combinations?,,,research questions in this article,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7913,why colum G and H specified refs if this group captures specific combinations?,,,research question in this study,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7915,why colum G and H specified refs if this group captures specific combinations?,,,research question in this report,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7912,why colum G and H specified refs if this group captures specific combinations?,,,research question in this paper,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7914,why colum G and H specified refs if this group captures specific combinations?,,,research question in this article,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7892,why colum G and H specified refs if this group captures specific combinations?,,,research question examined in this,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
2389,why colum G and H specified refs if this group captures specific combinations?,,,research question,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
,,,,research needs to establish,problem statement,if in introduction,,,,,,,,30,,
,,,,research needs to establish,recommendation,if in conclusion section,,,,,,,,31,,
,,,,research is needed ,problem statement,if in introduction,,,,,,,,30,,
,,,,research is needed ,recommendation,if in conclusion section,,,,,,,,31,,
,,,,research is needed,problem statement,,if in introduction ,,,,,,,30,,
1691,,,,research is needed,limitation,,if in discussion or in conclusion section,,,,* research is needed,1,,5,13,
1693,,,,research is needed,problem statement,,if in introduction ,,,,NULL,1,,30,6,
,,,,research … has been limited by its overwhelming reliance on ,problem statement,,,,,,,,,30,,
Sep13,,,,requires further,problem statement,,if in introduction,,,,,,,30,,
,,,,require further investigation,problem statement,if early sentences of abstract,,,,,,,,30,,
,,,,require further investigation,recommendation,if in conclusion section,,,,,,,,31,,
,,,,require further ,problem statement,if early sentences of abstract,,,,,,,,30,,
,,,,require further ,recommendation,if in conclusion section,,,,,,,,31,,
,,,,represents a challenge,problem statement,,if in introduction,,,,,,,30,,
7370,,,,represent a positive contribution towards,contribution,,,,,,represent% * positive contribution% towards,1,,8,8,NULL
Sep13,,,,replicating the findings,contribution,contribution,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,,,8,,
Sep13,,,,relative contribution,contribution,,,,,,,,,8,,
7256,,,,reasons for studying this topic,contribution,,,,,,reasons for studying * topic%,1,,8,8,NULL
2237,why colum G and H specified refs if this group captures specific combinations?,,,questions were investigated,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7885,why colum G and H specified refs if this group captures specific combinations?,,,questions we addressed in this,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
,,,,questions remain unanswered ,problem statement,,if in introduction ,,,,,,,30,,
7397,why colum G and H specified refs if this group captures specific combinations?,,,questions in this study,hypothesis/research question  ,research question,self ref,deictic work ref,,,question% in this *,1,,25,25,NULL
7905,why colum G and H specified refs if this group captures specific combinations?,,,questions in this research,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7907,why colum G and H specified refs if this group captures specific combinations?,,,questions in this report,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7901,why colum G and H specified refs if this group captures specific combinations?,,,questions in this paper,hypothesis/research question  ,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
